urdu,roman
اہٹ سی کوئی ائے تو لگتا ہے کہ تم ہو سایہ کوئی لہرائے تو لگتا ہے کہ تم ہو جب شاخ کوئی ہاتھ لگاتے ہی چمن میں شرمائے لچک جائے تو لگتا ہے کہ تم ہو صندل سے مہکتی ہوئی پر کیف ہوا کا جھونکا کوئی ٹکرائے تو لگتا ہے کہ تم ہو اوڑھے ہوئے تاروں کی چمکتی ہوئی چادر ندی کوئی بل کھائے تو لگتا ہے کہ تم ہو جب رات گئے کوئی کرن میرے برابر چپ چاپ سی سو جائے تو لگتا ہے کہ تم ہو,aahat s ko aa.e to lagt hai ki tum ho saaya ko lahr .e to lagt hai ki tum ho jab sh h ko haath lag te h chaman me sharm .e lachak jaa.e to lagt hai ki tum ho sandal se mahakt hu pur kaif hav k jho k ko takr .e to lagt hai ki tum ho o he hue t ro k chamakt hu ch dar nadd ko bal khaa.e to lagt hai ki tum ho jab raat ga.e ko kiran mere bar bar chup ch p s so jaa.e to lagt hai ki tum ho
موج گل موج صبا موج سحر لگتی ہے سر سے پا تک وہ سماں ہے کہ نظر لگتی ہے ہم نے ہر گام پہ سجدوں کے جلائے ہیں چراغ اب ہمیں تیری گلی راہ گزر لگتی ہے لمحے لمحے میں بسی ہے تری یادوں کی مہک اج کی رات تو خوشبو کا سفر لگتی ہے جل گیا اپنا نشیمن تو کوئی بات نہیں دیکھنا یہ ہے کہ اب اگ کدھر لگتی ہے ساری دنیا میں غریبوں کا لہو بہتا ہے ہر زمیں مجھ کو مرے خون سے تر لگتی ہے کوئی اسودہ نہیں اہل سیاست کے سوا یہ صدی دشمن ارباب ہنر لگتی ہے واقعہ شہر میں کل تو کوئی ایسا نہ ہوا یہ تو اخبار کے دفتر کی خبر لگتی ہے لکھنؤ کیا تری گلیوں کا مقدر تھا یہی ہر گلی اج تری خاک بسر لگتی ہے,mauj e gul mauj e sab mauj e sahar lagt hai sar se p tak vo sam hai ki nazar lagt hai ham ne har gaam pe sajdo ke jal .e hai char h ab hame ter gal r hguzar lagt hai lamhe lamhe me bas hai tir y do k mahak aaj k raat to hushb k safar lagt hai jal gay apn nasheman to ko baat nah dekhn ye hai ki ab aag kidhar lagt hai saar duniy me har bo k lah baht hai har zam mujh ko mire huun se tar lagt hai ko s da nah ahl e siy sat ke siv ye sad dushman e arb b e hunar lagt hai v qi.a shahr me kal to ko ais na hu ye to a hb r ke daftar k habar lagt hai lucknow ky tir galiyo k muqaddar th yah har gal aaj tir h k basar lagt hai
طلوع صبح ہے نظریں اٹھا کے دیکھ ذرا شکست ظلمت شب مسکرا کے دیکھ ذرا غم بہار و غم یار ہی نہیں سب کچھ غم جہاں سے بھی دل کو لگا کے دیکھ ذرا بہار کون سی سوغات لے کے ائی ہے ہمارے زخم تمنا تو ا کے دیکھ ذرا ہر ایک سمت سے اک افتاب ابھرے گا چراغ دیر و حرم تو بجھا کے دیکھ ذرا وجود عشق کی تاریخ کا پتہ تو چلے ورق الٹ کے تو ارض و سما کے دیکھ ذرا ملے تو تو ہی ملے اور کچھ قبول نہیں جہاں میں حوصلے اہل وفا کے دیکھ ذرا تری نظر سے ہے رشتہ مرے گریباں کا کدھر ہے میری طرف مسکرا کے دیکھ ذرا,tul e sub.h hai nazre uth ke dekh zar shikast e zulmat e shab muskur ke dekh zar ham e bah r o ham e y r h nah sab kuchh ham e jah se bh dil ko lag ke dekh zar bah r kaun s sau h t le ke aa. hai ham re za hm e tamann t aa ke dekh zar har ek samt se ik ft b ubhreg char h e dair o haram to bujh ke dekh zar vaj d e ishq k t r h k pata to chale varaq ulat ke t arz o sam ke dekh zar mile to t h mile aur kuchh qub l nah jah me hausle ahl e vaf ke dekh zar tir nazar se hai rishta mire gireb k kidhar hai mer taraf muskur ke dekh zar
ہم سے بھاگا نہ کرو دور غزالوں کی طرح ہم نے چاہا ہے تمہیں چاہنے والوں کی طرح خودبخود نیند سی انکھوں میں گھلی جاتی ہے مہکی مہکی ہے شب غم ترے بالوں کی طرح تیرے بن رات کے ہاتھوں پہ یہ تاروں کے ایاغ خوبصورت ہیں مگر زہر کے پیالوں کی طرح اور کیا اس سے زیادہ کوئی نرمی برتوں دل کے زخموں کو چھوا ہے ترے گالوں کی طرح گنگناتے ہوئے اور ا کبھی ان سینوں میں تیری خاطر جو مہکتے ہیں شوالوں کی طرح تیری زلفیں تری انکھیں ترے ابرو ترے لب اب بھی مشہور ہیں دنیا میں مثالوں کی طرح ہم سے مایوس نہ ہو اے شب دوراں کہ ابھی دل میں کچھ درد چمکتے ہیں اجالوں کی طرح مجھ سے نظریں تو ملاؤ کہ ہزاروں چہرے میری انکھوں میں سلگتے ہیں سوالوں کی طرح اور تو مجھ کو ملا کیا مری محنت کا صلہ چند سکے ہیں مرے ہاتھ میں چھالوں کی طرح جستجو نے کسی منزل پہ ٹھہرنے نہ دیا ہم بھٹکتے رہے اوارہ خیالوں کی طرح زندگی جس کو ترا پیار ملا وہ جانے ہم تو ناکام رہے چاہنے والوں کی طرح,ham se bh g na karo duur haz lo k tarah ham ne ch h hai tumhe ch hne v lo k tarah hud ba hud niind s kho me ghul jaat hai mahk mahk hai shab e ham tire b lo k tarah tere bin raat ke h tho pe ye t ro ke ay h h b s rat hai magar zahr ke py lo k tarah aur ky is se ziy da ko narm bart dil ke za hmo ko chhu hai tire g lo k tarah gungun te hue aur aa kabh un s no me ter h tir jo mahakte hai shiv lo k tarah ter zulfe tir khe tire abr tire lab ab bh mash.h r hai duniy me mis lo k tarah ham se m y s na ho ai shab e daur ki abh dil me kuchh dard chamakte hai uj lo k tarah mujh se nazre to mil o ki haz ro chehre mer kho me sulagte hai sav lo k tarah aur to mujh ko mil ky mir mehnat k sila chand sikke hai mire haath me chh lo k tarah justuj ne kis manzil pe thaharne na diy ham bhatakte rahe v ra hay lo k tarah zindag jis ko tir pyaar mil vo jaane ham to n k m rahe ch hne v lo k tarah
ہر ایک روح میں اک غم چھپا لگے ہے مجھے یہ زندگی تو کوئی بد دعا لگے ہے مجھے پسند خاطر اہل وفا ہے مدت سے یہ دل کا داغ جو خود بھی بھلا لگے ہے مجھے جو انسوؤں میں کبھی رات بھیگ جاتی ہے بہت قریب وہ اواز پا لگے ہے مجھے میں سو بھی جاؤں تو کیا میری بند انکھوں میں تمام رات کوئی جھانکتا لگے ہے مجھے میں جب بھی اس کے خیالوں میں کھو سا جاتا ہوں وہ خود بھی بات کرے تو برا لگے ہے مجھے میں سوچتا تھا کہ لوٹوں گا اجنبی کی طرح یہ میرا گاؤں تو پہچانتا لگے ہے مجھے نہ جانے وقت کی رفتار کیا دکھاتی ہے کبھی کبھی تو بڑا خوف سا لگے ہے مجھے بکھر گیا ہے کچھ اس طرح ادمی کا وجود ہر ایک فرد کوئی سانحہ لگے ہے مجھے اب ایک ادھ قدم کا حساب کیا رکھئے ابھی تلک تو وہی فاصلہ لگے ہے مجھے حکایت غم دل کچھ کشش تو رکھتی ہے زمانہ غور سے سنتا ہوا لگے ہے مجھے,har ek ruuh me ik ham chhup lage hai mujhe ye zindag to ko bad du lage hai mujhe pasand e h tir e ahl e vaf hai muddat se ye dil k daa h jo hud bh bhal lage hai mujhe jo suo me kabh raat bhiig jaat hai bahut qar b vo v z e p lage hai mujhe mai so bh j . to ky mer band kho me tam m raat ko jh kt lage hai mujhe mai jab bh us ke hay lo me kho s jaat huu vo hud bh baat kare to bur lage hai mujhe mai socht th ki laut g ajnab k tarah ye mer gaa v to pahch nt lage hai mujhe na jaane vaqt k raft r ky dikh t hai kabh kabh to ba hauf s lage hai mujhe bikhar gay hai kuchh is tarah aadm k vaj d har ek fard ko s neha lage hai mujhe ab ek aadh qadam k his b ky rakhiye abh talak to vah f sla lage hai mujhe hik yat e ham e dil kuchh kashish to rakht hai zam na haur se sunt hu lage hai mujhe
لاکھ اوارہ سہی شہروں کے فٹ پاتھوں پہ ہم لاش یہ کس کی لیے پھرتے ہیں ان ہاتھوں پہ ہم اب انہیں باتوں کو سنتے ہیں تو اتی ہے ہنسی بے طرح ایمان لے ائے تھے جن باتوں پہ ہم کوئی بھی موسم ہو دل کی اگ کم ہوتی نہیں مفت کا الزام رکھ دیتے برساتوں پہ ہم زلف سے چھنتی ہوئی اس کے بدن کی تابشیں ہنس دیا کرتے تھے اکثر چاندنی راتوں پہ ہم اب انہیں پہچانتے بھی شرم اتی ہے ہمیں فخر کرتے تھے کبھی جن کی ملاقاتوں پہ ہم,laakh v ra sah shahro ke futp tho pe ham laash ye kis k liye phirte hai in h tho pe ham ab unh b to ko sunte hai to aat hai ha s be tarah m n le aa.e the jin b to pe ham ko bh mausam ho dil k aag kam hot nah muft k ilz m rakh dete bars to pe ham zulf se chhant hu us ke badan k t bishe ha s diy karte the aksar ch dn r to pe ham ab unhe pahch nte bh sharm aat hai hame fa hr karte the kabh jin k mul q to pe ham
وہ لوگ ہی ہر دور میں محبوب رہے ہیں جو عشق میں طالب نہیں مطلوب رہے ہیں طوفان کی اواز تو اتی نہیں لیکن لگتا ہے سفینے سے کہیں ڈوب رہے ہیں ان کو نہ پکارو غم دوراں کے لقب سے جو درد کسی نام سے منسوب رہے ہیں ہم بھی تری صورت کے پرستار ہیں لیکن کچھ اور بھی چہرے ہمیں مرغوب رہے ہیں الفاظ میں اظہار محبت کے طریقے خود عشق کی نظروں میں بھی معیوب رہے ہیں اس عہد بصیرت میں بھی نقاد ہمارے ہر ایک بڑے نام سے مرعوب رہے ہیں اتنا بھی نہ گھبراؤ نئی طرز ادا سے ہر دور میں بدلے ہوئے اسلوب رہے ہیں,vo log h har daur me mahb b rahe hai jo ishq me t lib nah matl b rahe hai t f n k v z to aat nah lekin lagt hai saf ne se kah duub rahe hai un ko na puk ro ham e daur ke laqab se jo dard kis naam se mans b rahe hai ham bh tir s rat ke parast r hai lekin kuchh aur bh chehre hame mar h b rahe hai alf z me iz.h r e mohabbat ke tar qe hud ishq k nazro me bh m y b rahe hai is ahd e bas rat me bh naqq d ham re har ek ba e naam se mar. b rahe hai itn bh na ghabr o na. tarz e ad se har daur me badle hue usl b rahe hai
وہ ہم سے اج بھی دامن کشاں چلے ہے میاں کسی پہ زور ہمارا کہاں چلے ہے میاں جہاں بھی تھک کے کوئی کارواں ٹھہرتا ہے وہیں سے ایک نیا کارواں چلے ہے میاں جو ایک سمت گماں ہے تو ایک سمت یقیں یہ زندگی تو یوں ہی درمیاں چلے ہے میاں بدلتے رہتے ہیں بس نام اور تو کیا ہے ہزاروں سال سے اک داستاں چلے ہے میاں ہر اک قدم ہے نئی ازمائشوں کا ہجوم تمام عمر کوئی امتحاں چلے ہے میاں وہیں پہ گھومتے رہنا تو کوئی بات نہیں زمیں چلے ہے تو اگے کہاں چلے ہے میاں وہ ایک لمحۂ حیرت کہ لفظ ساتھ نہ دیں نہیں چلے ہے نہ ایسے میں ہاں چلے ہے میاں,vo ham se aaj bh d man kash chale hai miy kis pe zor ham r kah chale hai miy jah bh thak ke ko k rv thahart hai vah se ek nay k rv chale hai miy jo ek samt gum hai to ek samt yaq ye zindag to y h darmiy chale hai miy badalte rahte hai bas naam aur to ky hai haz ro saal se ik d st chale hai miy har ik qadam hai na. zm .isho k huj m tam m umr ko imtih chale hai miy vah pe gh mte rahn to ko baat nah zam chale hai to aage kah chale hai miy vo ek lamha e hairat ki lafz saath na de nah chale hai na aise me haa chale hai miy
مدت ہوئی اس جان حیا نے ہم سے یہ اقرار کیا جتنے بھی بد نام ہوئے ہم اتنا اس نے پیار کیا پہلے بھی خوش چشموں میں ہم چوکنا سے رہتے تھے تیری سوئی انکھوں نے تو اور ہمیں ہوشیار کیا جاتے جاتے کوئی ہم سے اچھے رہنا کہہ تو گیا پوچھے لیکن پوچھنے والے کس نے یہ بیمار کیا قطرہ قطرہ صرف ہوا ہے عشق میں اپنے دل کا لہو شکل دکھائی تب اس نے جب انکھوں کو خوں بار کیا ہم پر کتنی بار پڑے یہ دورے بھی تنہائی کے جو بھی ہم سے ملنے ایا ملنے سے انکار کیا عشق میں کیا نقصان نفع ہے ہم کو کیا سمجھاتے ہو ہم نے ساری عمر ہی یارو دل کا کاروبار کیا محفل پر جب نیند سی چھائی سب کے سب خاموش ہوئے ہم نے تب کچھ شعر سنایا لوگوں کو بے دار کیا اب تم سوچو اب تم جانو جو چاہو اب رنگ بھرو ہم نے تو اک نقشہ کھینچا اک خاکہ تیار کیا دیش سے جب پردیش سدھارے ہم پر یہ بھی وقت پڑا نظمیں چھوڑی غزلیں چھوڑی گیتوں کا بیوپار کیا,muddat hu us j n e hay ne ham se ye iqr r kiy jitne bh badn m hue ham utn us ne pyaar kiy pahle bh hush chashmo me ham chaukann se rahte the ter so kho ne to aur hame hoshiy r kiy jaate jaate ko ham se achchhe rahn kah to gay p chhe lekin p chhne vaale kis ne ye b m r kiy qatra qatra sirf hu hai ishq me apne dil k lah shakl dikh . tab us ne jab kho ko h b r kiy ham par kitn baar pa e ye daure bh tanh . ke jo bh ham se milne aay milne se ink r kiy ishq me ky nuqs n naf hai ham ko ky samjh te ho ham ne saar umr h yaaro dil k k rob r kiy mahfil par jab nii d s chh . sab ke sab h mosh hue ham ne tab kuchh sher sun y logo ko bed r kiy ab tum socho ab tum jaano jo ch ho ab ra g bharo ham ne to ik naqsha kh ch ik h ka tayy r kiy desh se jab pardesh sidh re ham par ye bh vaqt pa nazme chho hazle chho g to k bevp r kiy
زندگی تجھ کو بھلایا ہے بہت دن ہم نے وقت خوابوں میں گنوایا ہے بہت دن ہم نے اب یہ نیکی بھی ہمیں جرم نظر اتی ہے سب کے عیبوں کو چھپایا ہے بہت دن ہم نے تم بھی اس دل کو دکھا لو تو کوئی بات نہیں اپنا دل اپ دکھایا ہے بہت دن ہم نے مدتوں ترک تمنا پہ لہو رویا ہے عشق کا قرض چکایا ہے بہت دن ہم نے کیا پتا ہو بھی سکے اس کی تلافی کہ نہیں شاعری تجھ کو گنوایا ہے بہت دن ہم نے,zindag tujh ko bhul y hai bahut din ham ne vaqt hv bo me ga v y hai bahut din ham ne ab ye nek bh hame jurm nazar aat hai sab ke aibo ko chhup y hai bahut din ham ne tum bh is dil ko dukh lo to ko baat nah apn dil aap dukh y hai bahut din ham ne muddato tark e tamann pe lah roy hai ishq k qarz chuk y hai bahut din ham ne ky pat ho bh sake is k tal f ki nah sh .er tujh ko ga v y hai bahut din ham ne
